# task_name, task_description, image_path, sound_path
WE_L,wrist extension left,C:/uw_ebionics_mrcp_online_interface_python/package/views/layouts/WE_left.png,C:/uw_ebionics_mrcp_online_interface_python/package/views/sounds/WE_left.wav
WE_R,wrist extension right,C:/uw_ebionics_mrcp_online_interface_python/package/views/layouts/WE_right.png,C:/uw_ebionics_mrcp_online_interface_python/package/views/sounds/WE_right.wav
IE_L,index finger extension left,C:/uw_ebionics_mrcp_online_interface_python/package/views/layouts/IE_left.png,C:/uw_ebionics_mrcp_online_interface_python/package/views/sounds/IE_left.wav
IE_R,index finger extension right,C:/uw_ebionics_mrcp_online_interface_python/package/views/layouts/IE_right.png,C:/uw_ebionics_mrcp_online_interface_python/package/views/sounds/IE_right.wav
